Province,District,Agriculture (01-03),Mining (05-09),Manufacturing (10-33),Electricity (35),Water (36-39),Construction (41-43),Wholesale (45-47),Transportation (49-53),Accommodation (55-56),Information (58-63),Financial (64-66),Real estate (68),Professional (69-75),Administrative (77-82),Public admin (84),Education (85),Health (86-88),Arts (90-93),Other services (94-96),Extraterritorial (99),Others
Balochistan,AWARAN,273,0,459,9,94,0,3271,79,262,37,23,15,25,19,405,3700,479,9,1550,0,15
Balochistan,BARKHAN,1339,0,320,0,68,3,3393,42,490,100,39,22,30,20,473,8236,390,6,4984,0,60
Balochistan,CHAGAI,2417,0,1472,0,79,0,8228,362,1291,110,77,15,66,33,1263,11739,419,13,8306,0,6
Balochistan,CHAMAN,2982,0,974,0,139,1,6491,719,974,64,51,201,55,30,364,7801,447,23,4760,0,28
Balochistan,DERA BUGTI,1903,0,952,4,615,0,5915,247,722,246,34,0,111,121,1380,5192,919,19,2770,0,23
Balochistan,DUKI,1682,639,3434,0,120,3,5055,323,894,151,58,57,43,20,706,5654,409,26,6830,0,7
Balochistan,GAWADAR,3649,0,2691,7,308,220,8489,837,1960,1049,502,454,86,161,1945,6193,1475,79,4103,0,93
Balochistan,HARNAI,2806,0,689,0,19,6,5223,207,719,54,65,61,71,60,1288,8739,317,1,6009,0,2
Balochistan,JAFFARABAD,2195,0,3691,3,162,200,11157,540,1449,469,337,115,193,111,1120,7437,1426,32,3708,0,183
Balochistan,JHAL MAGSI,402,0,236,0,64,8,1364,64,182,37,3,22,28,30,327,2260,292,16,1953,0,2
Balochistan,KACHHI,1151,1173,1001,5,63,0,6873,273,806,177,55,4,76,40,994,7429,598,30,4139,0,14
Balochistan,KALAT,1021,0,880,0,330,0,4287,231,613,252,92,113,13,75,1253,6267,440,11,4724,0,107
Balochistan,KECH,1987,0,1615,2,202,3,9639,443,1396,495,359,256,94,291,1139,12124,1509,111,6149,0,297
Balochistan,KHARAN,1688,0,844,0,327,22,5196,96,832,39,35,20,92,50,593,6632,298,22,1199,0,33
Balochistan,KHUZDAR,6612,250,3486,0,1481,153,12209,468,4341,467,101,114,71,39,1910,22406,1222,54,11061,0,182
Balochistan,KILLA ABDULLAH,1043,0,1047,0,114,6,5572,303,611,70,66,30,80,36,392,7993,679,7,6834,0,20
Balochistan,KILLA SAIFULLAH,2219,0,1187,11,294,36,8627,263,1051,301,229,35,140,128,1043,19044,606,28,11806,0,85
Balochistan,KOHLU,1691,0,237,0,59,0,2584,159,1066,60,37,8,84,70,1187,3192,748,2,2536,0,70
Balochistan,LASBELA,7508,0,13511,735,1789,134,25942,666,7912,1146,404,254,200,127,1759,12782,1902,76,7527,0,796
Balochistan,LORALAI,2070,0,2052,1,58,63,10101,454,1484,730,238,99,139,172,1734,10398,1412,47,3759,0,63
Balochistan,MASTUNG,2230,0,1741,0,2611,65,5749,270,851,384,90,452,85,23,1160,5783,672,24,3209,0,45
Balochistan,MUSAKHEL,447,0,217,0,49,0,1254,32,218,21,20,3,78,122,599,4474,1159,6,2014,0,9
Balochistan,NASIRABAD,2758,0,1927,418,204,2,7905,276,1098,599,127,70,59,63,1519,8596,1219,11,3959,0,25
