Province,District,Agriculture (01-03),Mining (05-09),Manufacturing (10-33),Electricity (35),Water (36-39),Construction (41-43),Wholesale (45-47),Transportation (49-53),Accommodation (55-56),Information (58-63),Financial (64-66),Real estate (68),Professional (69-75),Administrative (77-82),Public admin (84),Education (85),Health (86-88),Arts (90-93),Other services (94-96),Extraterritorial (99),Others
Balochistan,AWARAN,124,0,152,1,23,0,1453,12,71,7,3,1,1,11,27,319,51,3,558,0,6
Balochistan,BARKHAN,474,0,150,0,50,1,1772,23,101,20,9,2,9,5,38,596,86,2,1345,0,36
Balochistan,CHAGAI,526,0,401,0,29,0,3730,92,289,38,15,7,24,18,71,412,102,6,1192,0,5
Balochistan,CHAMAN,973,0,472,0,95,2,4726,159,332,50,25,73,21,17,65,413,147,8,1069,0,37
Balochistan,DERA BUGTI,852,0,388,2,316,0,2781,99,206,35,7,0,31,20,83,413,162,12,788,0,21
Balochistan,DUKI,283,49,467,0,49,1,2493,226,220,38,11,15,5,5,33,362,109,3,709,0,2
Balochistan,GAWADAR,382,0,484,2,46,9,3395,204,280,57,51,59,23,20,78,455,107,23,676,0,54
Balochistan,HARNAI,304,0,159,0,7,1,1469,36,131,9,9,14,16,6,49,217,59,1,476,0,2
Balochistan,JAFFARABAD,706,0,932,1,56,1,5525,316,314,104,33,22,24,31,92,778,352,20,1977,0,71
Balochistan,JHAL MAGSI,159,0,125,0,18,1,893,61,84,20,1,3,7,9,51,293,86,5,702,0,2
Balochistan,KACHHI,335,40,293,5,43,0,2269,104,169,50,7,1,14,11,91,490,117,9,1181,0,11
Balochistan,KALAT,388,0,291,0,224,0,2129,79,165,38,14,5,8,16,73,446,72,8,1080,0,8
Balochistan,KECH,415,0,285,1,73,2,3813,69,277,50,37,28,7,35,50,728,147,24,1096,0,29
Balochistan,KHARAN,486,0,316,0,160,3,2648,32,104,16,9,7,29,13,49,442,76,5,662,0,22
Balochistan,KHUZDAR,2976,1,1182,0,726,6,8795,297,727,75,38,20,38,22,112,1452,296,19,3264,0,145
Balochistan,KILLA ABDULLAH,374,0,272,0,77,2,2381,59,146,25,6,6,23,18,43,389,115,2,894,0,4
Balochistan,KILLA SAIFULLAH,658,0,448,1,160,3,4761,140,300,71,29,16,34,16,98,724,118,7,2061,0,39
Balochistan,KOHLU,504,0,140,0,35,0,1292,37,98,17,6,4,35,10,89,516,174,1,854,0,52
Balochistan,LASBELA,1339,0,1622,13,136,22,9128,306,1363,157,55,91,57,47,148,1173,444,54,2407,0,236
Balochistan,LORALAI,484,0,642,1,40,6,4270,202,347,76,25,32,29,24,65,567,197,18,1205,0,36
Balochistan,MASTUNG,888,0,424,0,1604,3,3350,136,181,61,14,30,13,17,77,565,86,11,1275,0,24
Balochistan,MUSAKHEL,146,0,105,0,43,0,761,25,75,8,3,1,21,19,51,304,88,4,673,0,9
Balochistan,NASIRABAD,1081,0,522,7,34,1,4022,103,265,58,21,9,28,15,74,625,311,7,1640,0,21
Balochistan,NUSHKI,539,0,385,1,367,1,2908,48,177,34,13,7,27,22,67,367,76,14,657,0,3
Balochistan,PANJGUR,204,0,79,0,14,1,1302,21,104,17,4,3,6,4,17,327,75,12,447,0,50
Balochistan,PISHIN,1278,0,968,1,406,3,8089,254,493,108,51,73,42,31,156,1280,262,13,2445,0,49
Balochistan,QUETTA,4961,2,7483,4,534,92,48954,2263,4175,595,302,1886,258,403,742,3108,1521,252,6392,0,304
