Province,District,Old homes/Orphanage,Hostel,Hotel,Hospital/Health Est.,Maddrasa,School,College,University,Masjid,Shop Retail,Shop Wholesale,Shop Service,Shop Production,Factory,Semi Govt. Office,Govt. Office,Post Office,Bank,Police Station,Cattle Farming,Others
Balochistan,AWARAN,0,2,260,452,465,2814,320,0,1471,2954,98,402,452,7,37,407,0,23,154,273,133
Balochistan,KALAT,0,153,547,439,2146,3890,122,0,4494,3609,188,1221,584,42,65,778,52,92,562,1026,736
Balochistan,KHUZDAR,0,1956,2448,1199,5023,12573,1001,600,11930,9825,981,2777,2266,1065,83,2463,72,81,456,6682,3146
Balochistan,LASBELA,0,825,7516,1824,1362,8117,1095,0,6798,20608,2418,5765,2949,9721,238,1610,125,358,329,7521,5991
Balochistan,MASTUNG,0,49,812,661,2393,2591,394,0,3025,4776,449,1492,916,807,73,1403,129,90,187,2293,2904
Balochistan,SURAB,0,6,201,141,731,1110,100,0,1867,1196,96,214,346,0,32,109,79,6,291,1533,627
Balochistan,BARKHAN,0,10,480,373,143,7432,54,0,5399,3036,113,435,270,50,17,410,11,38,154,1347,243
Balochistan,DUKI,0,472,672,404,1765,3463,265,0,6828,4194,494,763,1922,1342,20,238,8,58,163,1685,1355
Balochistan,LORALAI,0,409,1387,1343,2541,6020,1220,148,3385,7888,608,2787,1812,194,53,1723,32,241,212,2072,999
Balochistan,MUSAKHEL,0,29,209,1147,682,2946,60,0,1958,1040,95,362,217,0,27,992,5,7,200,447,299
Balochistan,GAWADAR,0,173,1910,1369,984,3616,146,2,2435,7100,504,3857,1178,905,313,2743,98,480,630,3657,2201
Balochistan,KECH,2,59,1337,1362,644,9856,578,25,5663,7776,1031,2357,1104,313,162,1652,158,320,464,1989,1259
Balochistan,PANJGUR,0,44,1507,2342,5482,5107,962,0,4013,4262,198,611,349,470,105,184,36,69,427,2275,845
Balochistan,JAFFARABAD,0,125,1326,1112,425,6255,411,0,3077,8838,1142,3079,2312,651,232,1260,47,261,132,2214,1629
Balochistan,JHALMAGSI,0,18,164,269,367,1605,28,0,2099,1184,57,240,155,5,13,157,4,3,164,402,356
Balochistan,KACHHI,0,150,789,583,1187,5768,190,0,4002,6414,130,737,957,0,28,643,87,55,309,1155,1717
Balochistan,NASIRABAD,0,83,1016,1128,493,7481,101,0,3627,6433,765,1522,1652,222,403,1400,55,108,508,2758,1080
Balochistan,SOHBATPUR,0,1,464,500,318,2167,101,0,1504,2554,106,1018,561,110,16,219,17,76,378,565,730
Balochistan,CHAMAN,0,9,965,437,4847,2504,250,0,4580,5514,418,1503,806,168,23,236,3,51,141,2987,662
Balochistan,KILLA ABDULLAH,0,4,607,675,2372,4116,82,0,7699,4806,214,1098,572,368,45,89,7,66,274,1049,760
Balochistan,PISHIN,0,382,1905,1745,10086,20788,1173,0,19465,14486,1309,4070,2626,290,115,804,56,281,482,5802,4545
Balochistan,QUETTA,1,1729,20597,16761,26305,66174,17303,5100,31252,98230,12622,36542,17913,2848,1589,30362,1244,3531,1691,25613,21475
Balochistan,CHAGAI,0,100,1273,409,4496,4589,129,0,8133,6124,985,1812,899,449,27,1112,182,73,167,2418,2519
Balochistan,KHARAN,0,623,241,281,2291,4017,75,0,1153,4914,140,465,716,128,35,339,28,29,189,1692,662
Balochistan,NUSHKI,0,30,491,323,1176,4176,149,0,1631,5176,120,1063,761,60,26,983,47,130,192,1058,903
Balochistan,WASHUK,0,97,198,300,1742,3219,48,0,5729,1376,87,196,160,0,13,215,109,13,866,930,89
Balochistan,DERABUGTI,0,217,668,873,518,2995,823,0,2508,5257,254,1063,898,27,354,1153,97,34,542,1903,952
Balochistan,HARNAI,0,547,672,297,1750,5752,876,0,5820,4505,152,1048,558,131,20,444,25,53,320,2806,560
Balochistan,KOHLU,1,984,453,746,222,2476,169,0,2439,2231,177,411,237,0,32,426,101,30,559,1691,405
Balochistan,SIBI,0,32,610,602,44,3799,1660,100,1798,3437,238,1161,973,90,12,1779,73,132,199,1275,858
