Province,District,Old homes/Orphanage,Hostel,Hotel,Hospital/Health Est.,Maddrasa,School,College,University,Masjid,Shop Retail,Shop Wholesale,Shop Service,Shop Production,Factory,Semi Govt. Office,Govt. Office,Post Office,Bank,Police Station,Cattle Farming,Others
Balochistan,AWARAN,0,1,70,47,38,252,8,0,517,1313,45,168,148,4,7,26,1,3,8,124,43
Balochistan,KALAT,0,26,143,71,115,298,5,0,1007,1825,104,395,231,2,13,68,11,14,15,392,309
Balochistan,KHUZDAR,0,46,683,293,411,769,32,1,3014,7788,448,1577,717,40,23,100,21,36,29,3025,1138
Balochistan,LASBELA,0,71,1311,432,170,787,31,0,1869,8016,538,1854,1053,229,43,112,19,51,24,1350,838
Balochistan,MASTUNG,0,11,171,85,117,401,11,0,1183,2907,195,537,402,13,13,76,17,14,18,929,1676
Balochistan,SURAB,0,2,77,53,66,200,5,0,632,1166,62,176,153,1,6,16,6,5,7,1072,288
Balochistan,BARKHAN,0,6,95,83,15,551,3,0,1312,1612,54,188,149,1,5,37,4,8,14,479,103
Balochistan,DUKI,0,29,192,108,45,287,5,0,665,1995,241,439,304,28,5,17,1,11,13,285,410
Balochistan,LORALAI,0,18,332,190,95,415,12,1,1011,3499,239,930,608,8,10,64,6,24,13,486,305
Balochistan,MUSAKHEL,0,6,71,87,21,264,5,0,635,643,54,145,104,0,4,40,2,2,16,146,91
Balochistan,GAWADAR,0,16,268,96,40,341,8,1,481,2973,194,737,344,31,12,94,13,48,14,385,309
Balochistan,KECH,1,8,270,136,54,598,12,1,926,3291,248,617,230,16,10,57,16,35,18,418,204
Balochistan,PANJGUR,0,7,100,70,52,235,10,0,417,1231,65,105,63,13,7,13,5,4,8,206,76
Balochistan,JAFFARABAD,0,7,308,340,29,658,25,0,1696,4501,561,1146,691,40,25,89,10,28,10,716,475
Balochistan,JHALMAGSI,0,6,78,83,23,234,1,0,695,792,37,121,101,1,3,23,2,1,23,159,137
Balochistan,KACHHI,0,11,162,115,33,400,12,0,1108,2104,46,274,291,0,8,67,14,7,32,336,220
Balochistan,NASIRABAD,0,9,257,306,30,518,11,0,1468,3450,252,636,507,11,8,66,8,18,14,1081,194
Balochistan,SOHBATPUR,0,1,153,157,18,453,5,0,730,1550,48,382,202,6,4,27,9,8,27,292,232
Balochistan,CHAMAN,0,8,324,143,144,223,4,0,945,4267,312,701,281,9,19,46,11,25,16,977,229
Balochistan,KILLA ABDULLAH,0,2,144,114,80,272,6,0,828,2133,72,384,187,35,7,18,3,6,22,379,144
Balochistan,PISHIN,0,29,465,256,275,887,18,0,2168,6998,341,1446,888,8,14,91,11,42,45,1312,708
Balochistan,QUETTA,1,203,3976,1484,637,1584,144,7,4054,41020,4500,10834,6303,90,105,397,123,277,37,5023,3432
Balochistan,CHAGAI,0,13,279,101,81,279,7,0,1099,3067,267,666,348,9,4,41,18,13,21,527,117
Balochistan,KHARAN,0,12,95,72,94,290,7,0,612,2521,80,227,258,15,4,47,6,6,5,493,235
Balochistan,NUSHKI,0,11,166,74,49,288,7,0,554,2613,77,444,338,8,4,39,7,12,25,540,457
Balochistan,WASHUK,0,11,66,54,39,210,2,0,667,953,43,123,53,0,4,25,8,3,12,460,51
Balochistan,DERABUGTI,0,30,198,143,28,326,24,0,671,2516,112,390,343,4,17,46,13,7,23,852,456
Balochistan,HARNAI,0,7,125,58,33,154,12,0,419,1286,43,252,149,5,4,33,4,8,14,304,55
Balochistan,KOHLU,1,14,89,172,23,458,11,0,786,1108,81,221,123,1,9,33,11,4,50,506,163
Balochistan,SIBI,0,5,209,114,8,282,18,1,698,2018,133,558,334,8,6,81,12,18,23,357,284
Balochistan,ZIARAT,0,49,110,56,45,258,5,0,685,1224,32,244,147,0,8,41,6,9,22,179,60
Balochistan,KILLA SAIFULLAH,0,50,256,112,117,550,12,0,1905,4278,202,665,401,0,18,47,8,29,35,663,336
Balochistan,SHERANI,0,4,12,24,31,160,1,0,499,164,10,9,4,0,2,7,3,0,9,169,14
Balochistan,ZHOB,0,15,300,182,82,346,7,0,900,3779,257,881,504,9,16,71,4,36,25,526,135
KPK,ABBOTTABAD,2,412,2030,764,189,2526,124,3,3579,15240,859,4057,3455,20,52,433,79,157,31,5912,1055
KPK,BATAGRAM,0,37,295,191,227,868,20,0,2920,4805,208,905,885,2,17,80,8,33,7,3934,421
KPK,BANNU,2,168,696,788,436,2000,66,1,5527,13870,730,2505,2129,40,22,120,28,56,40,2900,1427
KPK,BAJAUR,0,65,443,630,260,760,23,0,3188,10384,439,1137,1637,21,7,60,16,24,47,975,659
KPK,BUNER,0,86,626,643,307,1053,52,1,3354,10539,534,2201,2423,21,14,151,10,58,33,11752,1176
KPK,CHARSADDA,0,41,1541,1160,552,1975,90,1,5708,24735,1158,5525,7144,82,25,192,29,87,39,3750,1412
KPK,DERA ISMAIL KHAN,0,113,1625,814,421,2287,105,2,5787,18081,964,4413,3691,86,37,220,42,97,33,2193,1105
KPK,HARIPUR,1,155,1726,740,233,1865,128,2,3386,14382,997,4571,4226,136,73,314,49,112,19,7469,1244
KPK,HANGU,0,121,304,281,195,551,21,0,1703,6227,237,986,927,5,12,89,22,50,14,912,648
KPK,KARAK,1,16,285,190,247,1139,63,1,2925,5354,295,1018,901,15,10,75,22,36,20,1021,847
KPK,KOHAT,1,139,786,566,402,1425,83,2,3355,11602,639,2239,2084,52,37,185,31,90,40,1530,772
KPK,KURRAM,2,70,303,269,114,657,32,0,2063,6557,240,897,765,8,7,75,17,44,48,1147,535
KPK,KHYBER,0,92,378,471,190,791,28,0,1691,6121,348,794,783,125,16,77,20,21,35,1808,680
KPK,KOLAI PALAS KOHISTAN,0,9,12,23,22,235,0,0,426,284,17,15,53,2,3,14,0,2,2,1403,49
KPK,LAKKI MARWAT,0,18,591,382,343,1465,38,1,3824,10398,612,2035,1680,42,16,103,18,31,28,1114,1982
KPK,LOWER KOHISTAN,0,12,53,26,38,255,2,0,741,629,32,62,41,3,1,26,3,6,5,995,36
KPK,LOWER CHITRAL,2,159,543,185,177,568,42,1,1259,6439,284,1530,1170,4,28,135,31,53,21,11347,1024
KPK,LOWER DIR,1,105,1250,753,616,1863,141,2,4431,18183,1013,3458,3484,52,23,174,22,85,44,2375,1228
KPK,MALAKAND,0,24,740,427,233,1058,66,0,2310,11228,663,2474,2785,63,16,163,22,75,27,1541,614
KPK,MANSEHRA,2,269,2555,781,336,2974,102,1,5927,20454,932,5172,4048,36,58,273,61,137,30,17313,1222
KPK,MARDAN,2,128,2032,1677,1026,2894,183,4,7707,31540,1918,6711,7858,269,53,343,63,159,45,5607,2062
KPK,MOHMAND,0,87,281,325,183,618,13,0,2876,4306,196,610,901,19,21,56,21,11,58,1179,708
